日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2023-01-01,严重污染,273,336,223,249,12,75,1.74,17
2023-01-02,重度污染,246,328,196,212,10,69,1.59,28
2023-01-03,严重污染,274,330,224,244,9,76,1.78,25
2023-01-04,严重污染,311,336,261,286,9,88,1.97,17
2023-01-05,严重污染,344,329,294,329,9,93,2.10,25
2023-01-06,轻度污染,144,230,80,210,8,48,1.08,35
2023-01-07,轻度污染,136,280,101,184,12,79,1.42,17
2023-01-08,中度污染,189,316,143,209,13,90,1.58,17
2023-01-09,重度污染,220,326,170,230,15,85,1.84,21
2023-01-10,中度污染,172,302,132,188,12,65,1.38,26
2023-01-11,中度污染,200,315,151,195,11,66,1.45,22
2023-01-12,重度污染,245,324,195,228,10,70,1.64,24
2023-01-13,严重污染,342,328,137,428,6,34,0.87,40
2023-01-14,良,82,293,23,114,5,13,0.36,57
2023-01-15,良,61,284,23,73,6,19,0.43,54
2023-01-16,良,70,275,41,90,8,38,0.66,39
2023-01-17,轻度污染,122,301,60,194,7,34,0.62,44
2023-01-18,轻度污染,109,264,75,161,9,51,0.90,32
2023-01-19,轻度污染,101,256,67,128,9,36,0.75,47
2023-01-20,轻度污染,117,313,75,179,11,33,1.04,37
2023-01-21,重度污染,208,328,157,268,17,39,1.35,40
2023-01-22,严重污染,328,336,272,352,27,37,1.33,51
2023-01-23,中度污染,163,308,106,181,10,21,0.90,59
2023-01-24,良,95,301,25,139,6,8,0.46,72
2023-01-25,良,64,204,36,78,10,17,0.87,55
2023-01-26,轻度污染,102,292,66,134,12,29,0.88,47
2023-01-27,良,72,218,30,93,7,15,0.44,71
2023-01-28,良,80,284,55,99,10,34,0.77,47
2023-01-29,良,80,259,56,88,11,47,0.89,41
2023-01-30,轻度污染,113,301,85,118,13,63,1.18,35
2023-01-31,中度污染,156,316,118,150,13,71,1.33,41
日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2023-02-01,轻度污染,136,281,94,150,13,60,1.20,30
2023-02-02,良,86,277,35,121,11,32,0.70,36
2023-02-03,良,97,302,71,131,13,51,0.92,27
2023-02-04,中度污染,171,326,129,193,19,65,1.41,38
2023-02-05,严重污染,259,336,208,282,22,82,1.64,30
2023-02-06,严重污染,326,337,275,324,20,85,1.81,30
2023-02-07,严重污染,283,334,233,280,15,83,1.91,34
2023-02-08,严重污染,280,336,230,275,12,60,1.73,28
2023-02-09,中度污染,187,335,140,147,6,36,1.38,33
2023-02-10,中度污染,155,322,118,123,6,32,1.38,38
2023-02-11,轻度污染,115,300,87,93,6,34,1.34,17
2023-02-12,良,58,208,41,47,6,30,1.19,15
2023-02-13,优,50,219,35,39,6,25,0.92,20
2023-02-14,良,55,256,39,52,6,27,0.60,49
2023-02-15,轻度污染,113,322,85,94,7,41,1.10,19
2023-02-16,中度污染,153,328,116,135,7,52,1.28,18
2023-02-17,中度污染,170,319,128,147,9,54,1.30,22
2023-02-18,轻度污染,112,258,69,109,7,33,0.79,50
2023-02-19,良,77,246,28,103,8,51,0.56,36
2023-02-20,轻度污染,102,313,71,145,12,68,0.93,15
2023-02-21,轻度污染,109,324,82,124,9,54,0.78,31
2023-02-22,轻度污染,130,330,99,101,6,46,0.80,19
2023-02-23,轻度污染,131,323,100,98,6,42,0.81,39
2023-02-24,良,85,276,60,84,7,50,0.78,38
2023-02-25,中度污染,159,329,119,141,8,41,0.78,46
2023-02-26,轻度污染,134,321,102,123,8,39,0.80,45
2023-02-27,中度污染,181,328,137,158,8,44,0.96,45
2023-02-28,轻度污染,150,329,97,165,8,44,0.83,38
日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2023-03-01,轻度污染,105,268,42,160,10,50,0.60,37
2023-03-01,轻度污染,105,268,42,160,10,50,0.60,37
2023-03-02,轻度污染,109,305,60,168,10,66,0.74,22
2023-03-03,良,87,247,50,123,8,51,0.58,47
2023-03-04,良,86,234,54,120,10,67,0.66,39
2023-03-05,轻度污染,118,302,88,159,11,80,0.94,38
2023-03-06,轻度污染,116,303,87,148,11,72,0.90,54
2023-03-07,轻度污染,118,295,88,154,10,88,0.91,42
2023-03-08,良,81,218,48,106,9,58,0.60,56
2023-03-09,良,88,241,40,125,9,67,0.64,37
2023-03-10,良,92,260,59,133,10,64,0.68,53
2023-03-11,轻度污染,148,280,43,206,7,45,0.50,48
2023-03-12,轻度污染,113,297,36,176,6,24,0.35,61
2023-03-13,轻度污染,111,318,56,173,9,64,0.61,26
2023-03-14,良,100,293,52,149,9,52,0.66,52
2023-03-15,良,84,215,24,118,9,20,0.38,71
2023-03-16,优,46,85,26,52,6,24,0.53,47
2023-03-17,良,51,228,36,38,6,22,0.53,54
2023-03-18,良,85,305,62,69,6,31,0.61,46
2023-03-19,轻度污染,118,329,89,109,8,44,0.77,50
2023-03-20,轻度污染,105,299,79,105,8,39,0.72,55
2023-03-21,轻度污染,107,258,80,113,8,40,0.77,58
2023-03-22,轻度污染,139,220,53,227,7,26,0.45,70
2023-03-23,良,84,191,48,119,5,18,0.46,60
2023-03-24,中度污染,171,313,76,289,6,20,0.45,43
2023-03-25,良,93,294,51,135,6,23,0.52,51
2023-03-26,良,83,278,51,115,11,41,0.62,36
2023-03-27,良,73,206,36,95,7,43,0.58,50
2023-03-28,良,79,228,40,107,9,54,0.60,52
2023-03-29,良,70,219,31,90,9,47,0.54,62
2023-03-30,良,80,280,48,110,12,58,0.63,56
2023-03-31,良,81,289,53,111,10,53,0.63,70
日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2023-04-01,良,75,260,46,97,10,34,0.63,87
2023-04-02,良,64,203,31,80,6,14,0.48,86
2023-04-03,优,17,7,6,11,5,13,0.38,55
2023-04-04,优,21,18,13,19,5,21,0.47,45
2023-04-05,良,63,271,35,88,5,19,0.47,48
2023-04-06,中度污染,173,325,81,281,5,20,0.32,76
2023-04-07,轻度污染,133,328,69,216,9,48,0.48,44
2023-04-08,轻度污染,101,321,61,153,11,46,0.68,50
2023-04-09,良,84,268,43,118,8,53,0.74,61
2023-04-10,良,89,253,43,128,9,57,0.69,69
2023-04-11,严重污染,426,323,122,563,7,27,0.35,63
2023-04-12,严重污染,256,256,115,389,12,45,0.68,50
2023-04-13,中度污染,185,286,94,307,8,49,0.83,36
2023-04-14,良,72,186,30,94,6,28,0.44,56
2023-04-15,良,66,144,22,83,6,39,0.35,58
2023-04-16,良,82,259,34,114,9,47,0.51,61
2023-04-17,良,93,303,46,136,11,44,0.65,76
2023-04-18,良,95,284,55,136,10,47,0.85,84
2023-04-19,良,95,275,52,132,10,41,0.84,117
2023-04-20,严重污染,457,321,289,1116,6,25,0.45,54
2023-04-21,良,85,298,39,116,5,15,0.49,57
2023-04-22,优,20,23,13,14,5,15,0.60,51
2023-04-23,优,23,75,13,14,5,16,0.58,59
2023-04-24,优,31,122,21,26,5,21,0.83,45
2023-04-25,良,51,247,23,57,5,29,0.72,54
2023-04-26,良,73,313,37,95,8,42,0.80,63
2023-04-27,良,75,300,34,100,7,40,0.75,72
2023-04-28,中度污染,181,318,56,266,5,20,0.30,75
2023-04-29,轻度污染,104,284,55,157,6,44,0.41,53
2023-04-30,良,76,245,40,101,8,43,0.48,67
日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2023-05-01,良,68,193,33,86,8,39,0.49,74
2023-05-02,良,69,249,33,88,7,25,0.46,94
2023-05-03,良,63,272,38,73,7,18,0.56,82
2023-05-04,优,47,276,26,54,4,15,0.66,38
2023-05-05,良,71,316,36,93,5,20,0.42,56
2023-05-06,优,31,116,20,27,5,15,0.51,55
2023-05-07,优,33,135,20,30,5,17,0.64,56
2023-05-08,优,37,145,16,36,5,19,0.56,67
2023-05-09,优,44,159,26,44,5,23,0.59,59
2023-05-10,优,50,225,31,51,5,22,0.64,73
2023-05-11,优,47,172,20,46,6,27,0.53,71
2023-05-12,良,59,229,21,67,6,33,0.38,75
2023-05-13,良,61,253,24,64,6,38,0.37,92
2023-05-14,良,58,171,25,55,6,34,0.41,96
2023-05-15,良,66,228,28,60,7,35,0.46,102
2023-05-16,良,56,179,24,52,7,29,0.40,103
2023-05-17,良,63,288,29,75,7,18,0.39,93
2023-05-18,优,49,220,19,49,6,13,0.32,105
2023-05-19,良,51,198,26,53,6,17,0.40,109
2023-05-20,良,63,202,33,79,7,17,0.50,108
2023-05-21,优,42,107,15,45,5,12,0.33,71
2023-05-22,优,31,76,9,31,6,17,0.28,78
2023-05-23,优,41,122,17,42,6,34,0.37,45
2023-05-24,优,40,103,17,36,6,29,0.38,80
2023-05-25,优,50,190,30,53,5,46,0.52,35
2023-05-26,优,46,179,24,47,5,40,0.51,25
2023-05-27,优,29,83,14,29,5,20,0.48,42
2023-05-28,优,15,5,9,14,5,23,0.68,33
2023-05-29,优,21,24,12,20,5,29,0.97,27
2023-05-30,优,44,194,12,27,5,22,0.89,92
2023-05-31,优,40,162,23,38,6,20,0.81,54
日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2023-06-01,优,33,0,11,28,5,23,0.50,74
2023-06-02,优,28,0,13,26,5,27,0.48,48
2023-06-03,优,24,0,11,18,5,18,0.44,57
2023-06-04,优,22,0,8,14,5,14,0.47,67
2023-06-05,优,28,0,10,26,5,25,0.50,60
2023-06-06,良,53,0,17,41,6,34,0.52,95
2023-06-07,良,52,0,21,48,6,28,0.50,95
2023-06-08,良,56,0,20,51,6,28,0.43,105
2023-06-09,良,62,0,19,52,7,31,0.38,102
2023-06-10,良,64,0,18,52,7,35,0.38,104
2023-06-11,良,83,0,28,84,9,32,0.51,133
2023-06-12,良,61,0,32,71,7,32,0.53,88
2023-06-13,良,60,0,18,45,6,26,0.40,110
2023-06-14,良,59,0,17,45,6,29,0.40,114
2023-06-15,优,44,0,17,41,6,21,0.40,106
2023-06-16,优,37,0,16,30,5,12,0.40,116
2023-06-17,优,28,0,13,20,5,13,0.45,82
2023-06-18,优,27,0,11,17,5,14,0.49,86
2023-06-19,优,48,0,23,55,5,28,0.61,65
2023-06-20,良,58,0,24,65,6,39,0.52,65
2023-06-21,良,70,0,25,63,6,40,0.48,98
2023-06-22,良,59,0,19,49,6,25,0.36,105
2023-06-23,优,46,0,17,38,6,18,0.35,108
2023-06-24,优,42,0,14,34,6,18,0.35,115
2023-06-25,良,51,0,17,40,7,26,0.38,110
2023-06-26,良,70,0,23,55,7,29,0.45,133
2023-06-27,良,55,0,25,56,7,28,0.52,88
2023-06-28,优,30,0,15,29,5,15,0.46,68
2023-06-29,良,63,0,21,44,5,22,0.48,111
2023-06-30,良,63,0,20,45,6,24,0.46,126
日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2023-07-01,优,48,0,23,50,7,24,0.51,109
2023-07-02,优,43,0,26,42,5,22,0.58,80
2023-07-03,优,30,0,12,22,5,12,0.58,83
2023-07-04,优,37,0,11,36,5,19,0.38,89
2023-07-05,良,75,0,23,75,6,39,0.54,107
2023-07-06,良,57,0,23,63,6,35,0.55,88
2023-07-07,良,54,0,17,48,6,31,0.50,89
2023-07-08,良,80,0,22,63,6,36,0.54,130
2023-07-09,良,91,0,29,76,7,36,0.61,146
2023-07-10,良,74,0,28,69,7,27,0.61,115
2023-07-11,良,58,0,24,54,6,23,0.57,90
2023-07-12,良,51,0,21,45,5,17,0.56,90
2023-07-13,优,25,0,6,14,4,9,0.39,75
2023-07-14,良,51,0,18,64,5,20,0.43,74
2023-07-15,良,51,0,17,49,5,27,0.47,81
2023-07-16,良,61,0,14,40,6,29,0.49,113
2023-07-17,良,64,0,23,51,7,26,0.54,123
2023-07-18,良,58,0,23,45,7,17,0.50,137
2023-07-19,良,59,0,23,46,6,18,0.50,129
2023-07-20,良,70,0,27,57,6,21,0.54,125
2023-07-21,良,54,0,24,57,5,14,0.42,114
2023-07-22,良,73,0,24,63,6,28,0.47,116
2023-07-23,良,74,0,24,61,6,33,0.55,121
2023-07-24,优,46,0,18,45,6,21,0.48,103
2023-07-25,优,49,0,16,41,7,22,0.45,97
2023-07-26,优,34,0,14,31,6,11,0.43,96
2023-07-27,优,44,0,22,46,5,18,0.54,69
2023-07-28,优,22,0,11,17,5,13,0.54,56
2023-07-29,优,28,0,17,27,5,15,0.65,55
2023-07-30,优,33,0,17,30,5,20,0.68,57
2023-07-31,优,36,0,15,32,5,20,0.58,70
日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2023-08-01,优,37,0,16,33,5,19,0.53,77
2023-08-02,优,38,0,17,35,5,21,0.56,76
2023-08-03,优,37,0,13,30,5,18,0.47,88
2023-08-04,优,44,0,14,37,5,24,0.50,85
2023-08-05,良,52,0,14,38,5,22,0.51,105
2023-08-06,优,34,0,16,34,5,20,0.58,66
2023-08-07,优,32,0,18,32,5,19,0.60,57
2023-08-08,优,41,0,22,40,5,17,0.63,73
2023-08-09,优,50,0,28,51,5,16,0.68,96
2023-08-10,良,57,0,33,58,5,19,0.66,102
2023-08-11,良,53,0,32,61,5,23,0.67,74
2023-08-12,优,34,0,9,21,5,11,0.43,103
2023-08-13,良,54,0,15,41,6,25,0.49,100
2023-08-14,良,52,0,22,46,6,25,0.55,98
2023-08-15,优,49,0,22,43,6,19,0.55,108
2023-08-16,良,65,0,27,52,6,26,0.59,110
