0,1,2,3,4,5,6,7,8,9
日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2023-03-01,轻度污染,105,268,42,160,10,50,0.60,37
2023-03-01,轻度污染,105,268,42,160,10,50,0.60,37
2023-03-02,轻度污染,109,305,60,168,10,66,0.74,22
2023-03-03,良,87,247,50,123,8,51,0.58,47
2023-03-04,良,86,234,54,120,10,67,0.66,39
2023-03-05,轻度污染,118,302,88,159,11,80,0.94,38
2023-03-06,轻度污染,116,303,87,148,11,72,0.90,54
2023-03-07,轻度污染,118,295,88,154,10,88,0.91,42
2023-03-08,良,81,218,48,106,9,58,0.60,56
2023-03-09,良,88,241,40,125,9,67,0.64,37
2023-03-10,良,92,260,59,133,10,64,0.68,53
2023-03-11,轻度污染,148,280,43,206,7,45,0.50,48
2023-03-12,轻度污染,113,297,36,176,6,24,0.35,61
2023-03-13,轻度污染,111,318,56,173,9,64,0.61,26
2023-03-14,良,100,293,52,149,9,52,0.66,52
2023-03-15,良,84,215,24,118,9,20,0.38,71
2023-03-16,优,46,85,26,52,6,24,0.53,47
2023-03-17,良,51,228,36,38,6,22,0.53,54
2023-03-18,良,85,305,62,69,6,31,0.61,46
2023-03-19,轻度污染,118,329,89,109,8,44,0.77,50
2023-03-20,轻度污染,105,299,79,105,8,39,0.72,55
2023-03-21,轻度污染,107,258,80,113,8,40,0.77,58
2023-03-22,轻度污染,139,220,53,227,7,26,0.45,70
2023-03-23,良,84,191,48,119,5,18,0.46,60
2023-03-24,中度污染,171,313,76,289,6,20,0.45,43
2023-03-25,良,93,294,51,135,6,23,0.52,51
2023-03-26,良,83,278,51,115,11,41,0.62,36
2023-03-27,良,73,206,36,95,7,43,0.58,50
2023-03-28,良,79,228,40,107,9,54,0.60,52
2023-03-29,良,70,219,31,90,9,47,0.54,62
2023-03-30,良,80,280,48,110,12,58,0.63,56
2023-03-31,良,81,289,53,111,10,53,0.63,70
